x,y,reading
62,21,0.28753
63,20,0.2902659375
63,21,0.30377156250000004
63,22,0.3172771875
63,23,0.3307828125
63,24,0.34428843750000004
64,19,0.29300187499999997
64,20,0.30650750000000004
64,21,0.320013125
64,22,0.33351875
64,23,0.34702437500000005
64,24,0.36053
64,25,0.374035625
64,26,0.38754125000000006
64,27,0.401046875
64,28,0.4145525
65,18,0.2957378125
65,19,0.3092434375
65,20,0.3227490625
65,21,0.33625468750000004
65,22,0.34976031249999995
65,23,0.3632659375
65,24,0.3767715625
65,25,0.39027718750000007
65,26,0.40378281250000003
65,27,0.4172884375
65,28,0.4307940625
65,29,0.4442996875
65,30,0.4578053125
65,31,0.4713109375000001
66,17,0.29847375
66,18,0.31197937499999995
66,19,0.325485
66,20,0.33899062500000005
66,21,0.35249625
66,22,0.366001875
66,23,0.3795075
66,24,0.393013125
66,25,0.40651875000000004
66,26,0.420024375
66,27,0.43353
66,28,0.447035625
66,29,0.46054124999999996
66,30,0.4740468750000001
66,31,0.4875525000000001
66,32,0.501058125
66,33,0.5145637500000001
66,34,0.5280693750000001
66,35,0.541575
67,16,0.3012096875
67,17,0.31471531249999996
67,18,0.32822093750000003
67,19,0.3417265625
67,20,0.3552321875
67,21,0.3687378125
67,22,0.3822434375
67,23,0.39574906249999997
67,24,0.40925468750000005
67,25,0.4227603125
67,26,0.43626593750000003
67,27,0.44977156250000005
67,28,0.46327718749999997
67,29,0.47678281250000004
67,30,0.49028843750000006
67,31,0.5037940625
67,32,0.5151280243902439
67,33,0.5242903231707318
67,34,0.5334526219512196
67,35,0.5426149207317074
68,14,0.29044000000000003
68,15,0.303945625
68,16,0.31745124999999996
68,17,0.330956875
68,18,0.3444625
68,19,0.35796812499999997
68,20,0.37147375
68,21,0.38497937500000007
68,22,0.398485
68,23,0.411990625
68,24,0.42549625
68,25,0.439001875
68,26,0.45250750000000006
68,27,0.466013125
68,28,0.47951875000000005
68,29,0.48868104878048785
68,30,0.49784334756097565
68,31,0.5070056463414635
68,32,0.5161679451219513
68,33,0.5253302439024391
68,34,0.5344925426829269
68,35,0.5436548414634147
68,36,0.5528171402439025
69,13,0.29317593750000004
69,14,0.3066815625
69,15,0.3201871875
69,16,0.3336928125
69,17,0.3471984375
69,18,0.3607040625
69,19,0.3742096875
69,20,0.3877153125
69,21,0.4012209375
69,22,0.4147265625
69,23,0.42823218749999997
69,24,0.4417378125
69,25,0.45307177439024393
69,26,0.46223407317073173
69,27,0.47139637195121953
69,28,0.4805586707317073
69,29,0.4897209695121952
69,30,0.498883268292683
69,31,0.5080455670731707
69,32,0.5172078658536585
69,33,0.5263701646341463
69,34,0.5355324634146341
69,35,0.544694762195122
69,36,0.5538570609756098
70,12,0.295911875
70,13,0.3094175
70,14,0.32292312500000003
70,15,0.33642875
70,16,0.34993437499999996
70,17,0.36344
70,18,0.376945625
70,19,0.39045125
70,20,0.403956875
70,21,0.4174625
70,22,0.42662479878048776
70,23,0.43578709756097567
70,24,0.44494939634146347
70,25,0.4541116951219512
70,26,0.463273993902439
70,27,0.47243629268292686
70,28,0.48159859146341466
70,29,0.49076089024390246
70,30,0.49992318902439026
70,31,0.5090854878048781
70,32,0.5182477865853659
70,33,0.5274100853658537
70,34,0.5365723841463415
70,35,0.5457346829268293
70,36,0.5548969817073172
70,37,0.5640592804878048
71,11,0.2986478125
71,12,0.31215343749999996
71,13,0.32565906250000004
71,14,0.3391646875
71,15,0.3526703125
71,16,0.3661759375
71,17,0.37968156249999996
71,18,0.3910155243902439
71,19,0.4001778231707317
71,20,0.4093401219512195
71,21,0.41850242073170735
71,22,0.4276647195121951
71,23,0.436827018292683
71,24,0.4459893170731708
71,25,0.45515161585365854
71,26,0.46431391463414634
71,27,0.47347621341463414
71,28,0.48263851219512194
71,29,0.4918008109756098
71,30,0.5009631097560976
71,31,0.5101254085365854
71,32,0.5192877073170732
71,33,0.528450006097561
71,34,0.5376123048780488
71,35,0.5467746036585367
71,36,0.5559369024390245
71,37,0.5650992012195123
71,38,0.5742615
72,10,0.30138375000000006
72,11,0.31488937499999997
72,12,0.328395
72,13,0.34190062499999996
72,14,0.35540625000000003
72,15,0.36456854878048783
72,16,0.37373084756097563
72,17,0.38289314634146343
72,18,0.39205544512195123
72,19,0.40121774390243903
72,20,0.4103800426829268
72,21,0.4195423414634146
72,22,0.4287046402439024
72,23,0.43786693902439033
72,24,0.44702923780487813
72,25,0.45619153658536593
72,26,0.46535383536585373
72,27,0.4745161341463415
72,28,0.48367843292682927
72,29,0.49284073170731707
72,30,0.5020030304878049
72,31,0.5111653292682927
72,32,0.5203276280487805
72,33,0.5294899268292683
72,34,0.5386522256097561
72,35,0.5478145243902439
72,36,0.5569768231707317
72,37,0.5661391219512196
72,38,0.5753014207317074
73,9,0.3041196875
73,10,0.3176253125
73,11,0.3289592743902439
73,12,0.33812157317073166
73,13,0.3472838719512195
73,14,0.3564461707317073
73,15,0.36560846951219517
73,16,0.37477076829268297
73,17,0.38393306707317076
73,18,0.39309536585365856
73,19,0.40225766463414636
73,20,0.41141996341463416
73,21,0.42058226219512196
73,22,0.42974456097560976
73,23,0.43890685975609756
73,24,0.44806915853658535
73,25,0.45723145731707315
73,26,0.466393756097561
73,27,0.47555605487804875
73,28,0.48471835365853655
73,29,0.4938806524390244
73,30,0.5030429512195121
73,31,0.5122052500000001
73,32,0.5213675487804879
73,33,0.5305298475609757
73,34,0.5396921463414635
73,35,0.5488544451219513
73,36,0.5580167439024392
73,37,0.5671790426829268
73,38,0.5763413414634146
73,39,0.5855036402439024
74,7,0.29335
74,8,0.3025122987804878
74,9,0.3116745975609756
74,10,0.3208368963414634
74,11,0.3299991951219512
74,12,0.339161493902439
74,13,0.34832379268292685
74,14,0.3574860914634146
74,15,0.36664839024390244
74,16,0.3758106890243903
74,17,0.38497298780487804
74,18,0.3941352865853659
74,19,0.4032975853658537
74,20,0.4124598841463415
74,21,0.4216221829268293
74,22,0.4307844817073171
74,23,0.4399467804878049
74,24,0.4491090792682927
74,25,0.45827137804878054
74,26,0.46743367682926834
74,27,0.4765959756097561
74,28,0.485758274390244
74,29,0.4949205731707318
74,30,0.5040828719512196
74,31,0.5132451707317074
74,32,0.5224074695121952
74,33,0.531569768292683
74,34,0.5407320670731708
74,35,0.5498943658536586
74,36,0.5590566646341464
74,37,0.5682189634146342
74,38,0.577381262195122
74,39,0.5865435609756098
75,7,0.3448781602373888
75,8,0.29333817136659435
75,9,0.3031388481561822
75,10,0.31293952494577004
75,11,0.3227402017353579
75,12,0.3325408785249458
75,13,0.3423415553145336
75,14,0.35214223210412143
75,15,0.36194290889370934
75,16,0.3717435856832972
75,17,0.3815442624728851
75,18,0.39134493926247294
75,19,0.40114561605206067
75,20,0.41094629284164863
75,21,0.4207469696312365
75,22,0.4305476464208243
75,23,0.4403483232104122
75,24,0.45014899999999997
75,25,0.4593112987804878
75,26,0.4684735975609756
75,27,0.4776358963414634
75,28,0.4867981951219512
75,29,0.495960493902439
75,30,0.5051227926829268
75,31,0.5142850914634147
75,32,0.5234473902439024
75,33,0.5326096890243903
75,34,0.5417719878048781
75,35,0.5509342865853658
75,36,0.5600965853658537
75,37,0.5692588841463415
75,38,0.5784211829268293
75,39,0.5875834817073171
75,40,0.5967457804878049
76,7,0.3964063204747774
76,8,0.29170442136498514
76,9,0.2933263427331887
76,10,0.30312701952277654
76,11,0.31292769631236445
76,12,0.3227283731019523
76,13,0.3325290498915401
76,14,0.34232972668112793
76,15,0.3521304034707159
76,16,0.3619310802603037
76,17,0.3717317570498916
76,18,0.38153243383947943
76,19,0.3913331106290672
76,20,0.40113378741865513
76,21,0.410934464208243
76,22,0.4207351409978308
76,23,0.4305358177874187
76,24,0.4403364945770065
76,25,0.45013717136659437
76,26,0.4599378481561822
76,27,0.4697385249457701
76,28,0.47953920173535797
76,29,0.4893398785249458
76,30,0.4991405553145336
76,31,0.5089412321041215
76,32,0.5187419088937094
76,33,0.5285425856832973
