Chemical,Monitor,Date Time ,Reading
AGOC-3A,1,8/2/16 14:00,10.73531
AGOC-3A,2,8/2/16 4:00,5.82203
AGOC-3A,3,4/5/16 11:00,5.28864
AGOC-3A,3,4/5/16 18:00,4.99654
AGOC-3A,3,4/19/16 11:00,5.36994
AGOC-3A,3,8/2/16 1:00,6.01367
AGOC-3A,3,8/2/16 20:00,17.24103
AGOC-3A,3,8/23/16 11:00,4.42012
AGOC-3A,3,8/30/16 10:00,6.54448
AGOC-3A,3,12/13/16 1:00,4.18331
AGOC-3A,3,12/13/16 17:00,5.51301
AGOC-3A,3,12/27/16 0:00,6.14139
AGOC-3A,4,4/12/16 6:00,7.97074
AGOC-3A,4,4/12/16 11:00,15.89812
AGOC-3A,4,8/16/16 10:00,17.0811
AGOC-3A,4,8/16/16 11:00,22.2418
AGOC-3A,4,8/16/16 14:00,4.23887
AGOC-3A,4,8/16/16 14:00,32.72532
AGOC-3A,5,8/2/16 22:00,10.69829
AGOC-3A,5,8/2/16 23:00,7.29324
AGOC-3A,5,8/16/16 5:00,3.85738
AGOC-3A,5,8/16/16 6:00,21.4291
AGOC-3A,5,8/16/16 12:00,5.95157
AGOC-3A,5,8/16/16 13:00,5.63339
AGOC-3A,5,12/20/16 1:00,3.98983
AGOC-3A,6,4/12/16 15:00,18.12727
AGOC-3A,6,8/9/16 19:00,21.38705
AGOC-3A,6,8/9/16 20:00,56.59016
AGOC-3A,6,8/9/16 20:00,5.65116
AGOC-3A,6,8/23/16 6:00,42.24573
AGOC-3A,6,8/23/16 6:00,4.50209
AGOC-3A,6,8/23/16 7:00,26.93431
AGOC-3A,6,12/6/16 2:00,5.56909
AGOC-3A,6,12/13/16 3:00,4.15424
AGOC-3A,6,12/13/16 15:00,42.91628
AGOC-3A,6,12/13/16 15:00,4.52997
AGOC-3A,6,12/13/16 16:00,4.25477
AGOC-3A,6,12/13/16 16:00,42.5599
AGOC-3A,7,4/19/16 5:00,4.30123
AGOC-3A,7,4/19/16 6:00,18.11631
AGOC-3A,7,4/19/16 8:00,12.57634
Appluimonia,1,4/5/16 0:00,0.00236589
Appluimonia,1,4/5/16 3:00,0.0107915
Appluimonia,1,4/5/16 6:00,0.0470147
Appluimonia,1,4/5/16 11:00,0.0868284
Appluimonia,1,4/5/16 13:00,0.102112
Appluimonia,1,4/5/16 17:00,0.106896
Appluimonia,1,4/12/16 0:00,0.0507915
Appluimonia,1,4/12/16 2:00,0.0894582
Appluimonia,1,4/12/16 7:00,0.0684875
Appluimonia,1,4/12/16 11:00,0.0372717
Appluimonia,1,4/12/16 13:00,0.105222
Appluimonia,1,4/12/16 14:00,0.0923342
Appluimonia,1,4/19/16 0:00,0.0301549
Appluimonia,1,4/19/16 2:00,0.0264278
Appluimonia,1,4/19/16 3:00,0.0886209
Appluimonia,1,4/19/16 6:00,0.0136221
Appluimonia,1,4/19/16 9:00,0.0841968
Appluimonia,1,4/19/16 12:00,0.0156362
Appluimonia,1,4/19/16 17:00,0.0758279
