Chemical,Monitor,Date Time ,Reading
AGOC-3A,3,8/2/16 1:00,6.01367
AGOC-3A,3,12/9/16 1:00,4.80655
AGOC-3A,3,12/13/16 1:00,4.18331
AGOC-3A,3,12/24/16 1:00,3.98704
AGOC-3A,4,12/17/16 1:00,4.46626
AGOC-3A,5,12/20/16 1:00,3.98983
AGOC-3A,6,4/9/16 1:00,9.46074
AGOC-3A,6,4/17/16 1:00,5.39857
AGOC-3A,9,12/24/16 1:00,5.15886
Appluimonia,1,4/1/16 1:00,0.00951907
Appluimonia,1,4/7/16 1:00,0.00777829
Appluimonia,1,4/8/16 1:00,0.00226585
Appluimonia,1,4/9/16 1:00,0.0882081
Appluimonia,1,4/15/16 1:00,0.0358247
Appluimonia,1,4/16/16 1:00,0.0458138
Appluimonia,1,4/24/16 1:00,0.0305307
Appluimonia,1,4/28/16 1:00,0.0370243
Appluimonia,1,8/3/16 1:00,0.0372717
Appluimonia,1,8/10/16 1:00,0.00313714
Appluimonia,1,8/23/16 1:00,0.0641642
Appluimonia,1,8/27/16 1:00,0.077288
Appluimonia,1,8/30/16 1:00,0.060316
Appluimonia,1,12/1/16 1:00,0.0378871
Appluimonia,1,12/5/16 1:00,0.0597377
Appluimonia,1,12/9/16 1:00,0.088318
Appluimonia,1,12/13/16 1:00,0.0716992
Appluimonia,1,12/14/16 1:00,0.0825829
Appluimonia,1,12/28/16 1:00,0.0970093
Appluimonia,1,12/31/16 1:00,0.0837651
Appluimonia,2,4/9/16 1:00,0.0994284
Appluimonia,2,4/19/16 1:00,0.0417773
Appluimonia,2,4/27/16 1:00,0.0409333
Appluimonia,2,4/30/16 1:00,0.0288049
Appluimonia,2,8/2/16 1:00,0.0509883
Appluimonia,2,8/9/16 1:00,0.0204507
Appluimonia,2,8/10/16 1:00,0.00829066
Appluimonia,2,8/17/16 1:00,0.026623
Appluimonia,2,8/25/16 1:00,0.00139091
Appluimonia,2,8/29/16 1:00,0.0713001
Appluimonia,2,12/4/16 1:00,0.00580924
Appluimonia,2,12/5/16 1:00,0.0825933
Appluimonia,2,12/11/16 1:00,0.0493777
Appluimonia,2,12/20/16 1:00,0.0801313
Appluimonia,2,12/22/16 1:00,0.0588986
Appluimonia,2,12/28/16 1:00,0.016856
Appluimonia,3,4/1/16 1:00,3.48407
Appluimonia,3,4/4/16 1:00,3.89905
Appluimonia,3,4/5/16 1:00,1.99606
Appluimonia,3,4/7/16 1:00,6.28941
Appluimonia,3,4/10/16 1:00,4.91394
Appluimonia,3,4/11/16 1:00,2.44464
Appluimonia,3,4/13/16 1:00,1.7398
Appluimonia,3,4/17/16 1:00,2.69177
Appluimonia,3,4/21/16 1:00,2.491
Appluimonia,3,4/22/16 1:00,3.47832
Appluimonia,3,4/23/16 1:00,2.58275
Appluimonia,3,4/24/16 1:00,2.8911
Appluimonia,3,4/25/16 1:00,3.60951
Appluimonia,3,4/27/16 1:00,0.0295144
Appluimonia,3,8/3/16 1:00,2.89075
Appluimonia,3,8/6/16 1:00,1.35419
Appluimonia,3,8/7/16 1:00,3.51141
Appluimonia,3,8/10/16 1:00,0.00189918
Appluimonia,3,8/11/16 1:00,4.30881
Appluimonia,3,8/16/16 1:00,2.85465
Appluimonia,3,8/18/16 1:00,1.89886
Appluimonia,3,8/19/16 1:00,2.83084
Appluimonia,3,8/21/16 1:00,2.77182
Appluimonia,3,8/22/16 1:00,2.71077
Appluimonia,3,8/23/16 1:00,1.46404
Appluimonia,3,8/30/16 1:00,1.86019
Appluimonia,3,8/31/16 1:00,2.22876
Appluimonia,3,12/2/16 1:00,3.22069
Appluimonia,3,12/8/16 1:00,3.91845
