Chemical,Monitor,Date Time ,Reading
AGOC-3A,1,4/1/16 23:00,0.404146
AGOC-3A,1,4/2/16 23:00,0.0317544
AGOC-3A,1,4/3/16 23:00,0.221591
AGOC-3A,1,4/4/16 23:00,0.209987
AGOC-3A,1,4/5/16 23:00,0.0693409
AGOC-3A,1,4/6/16 23:00,0.340946
AGOC-3A,1,4/7/16 23:00,0.180116
AGOC-3A,1,4/8/16 23:00,0.139457
AGOC-3A,1,4/9/16 23:00,0.00331086
AGOC-3A,1,4/10/16 23:00,0.25523
AGOC-3A,1,4/11/16 23:00,0.493652
AGOC-3A,1,4/12/16 23:00,0.328226
AGOC-3A,1,4/13/16 23:00,0.107818
AGOC-3A,1,4/14/16 23:00,0.109429
AGOC-3A,1,4/15/16 23:00,0.130586
AGOC-3A,1,4/16/16 23:00,0.159447
AGOC-3A,1,4/17/16 23:00,0.0172023
AGOC-3A,1,4/18/16 23:00,0.237823
AGOC-3A,1,4/19/16 23:00,0.0230282
AGOC-3A,1,4/20/16 23:00,0.4023
AGOC-3A,1,4/21/16 23:00,0.379384
AGOC-3A,1,4/22/16 23:00,0.354227
AGOC-3A,1,4/23/16 23:00,0.384967
AGOC-3A,1,4/24/16 23:00,0.166995
AGOC-3A,1,4/25/16 23:00,0.206465
AGOC-3A,1,4/26/16 23:00,0.128942
AGOC-3A,1,4/27/16 23:00,0.298665
AGOC-3A,1,4/28/16 23:00,0.257235
AGOC-3A,1,4/29/16 23:00,0.279185
AGOC-3A,1,4/30/16 23:00,0.329563
AGOC-3A,1,8/1/16 23:00,0.0386929
AGOC-3A,1,8/2/16 23:00,0.107818
AGOC-3A,1,8/3/16 23:00,0.577151
AGOC-3A,1,8/4/16 23:00,0.116627
AGOC-3A,1,8/5/16 23:00,0.331342
AGOC-3A,1,8/6/16 23:00,0.0269545
AGOC-3A,1,8/7/16 23:00,0.0581191
AGOC-3A,1,8/8/16 23:00,0.160413
AGOC-3A,1,8/9/16 23:00,0.499157
AGOC-3A,1,8/10/16 23:00,0.0909374
AGOC-3A,1,8/11/16 23:00,0.275344
AGOC-3A,1,8/12/16 23:00,0.335374
AGOC-3A,1,8/13/16 23:00,0.142796
AGOC-3A,1,8/14/16 23:00,0.182836
AGOC-3A,1,8/15/16 23:00,0.369076
AGOC-3A,1,8/16/16 23:00,0.0405504
AGOC-3A,1,8/17/16 23:00,0.164846
AGOC-3A,1,8/18/16 23:00,0.0639272
AGOC-3A,1,8/19/16 23:00,0.324397
AGOC-3A,1,8/20/16 23:00,0.0945736
AGOC-3A,1,8/21/16 23:00,0.140473
AGOC-3A,1,8/22/16 23:00,0.0273887
AGOC-3A,1,8/23/16 23:00,0.258272
AGOC-3A,1,8/24/16 23:00,0.188052
AGOC-3A,1,8/25/16 23:00,0.245611
AGOC-3A,1,8/26/16 23:00,0.329072
AGOC-3A,1,8/27/16 23:00,0.25987
AGOC-3A,1,8/28/16 23:00,0.38136
AGOC-3A,1,8/29/16 23:00,0.40179
AGOC-3A,1,8/30/16 23:00,0.0519446
AGOC-3A,1,8/31/16 23:00,0.473315
AGOC-3A,1,12/1/16 23:00,0.197804
AGOC-3A,1,12/2/16 23:00,0.180977
AGOC-3A,1,12/3/16 23:00,0.0285507
AGOC-3A,1,12/4/16 23:00,0.470845
AGOC-3A,1,12/5/16 23:00,0.496102
AGOC-3A,1,12/6/16 23:00,0.597042
AGOC-3A,1,12/7/16 23:00,0.0558765
AGOC-3A,1,12/8/16 23:00,0.219561
AGOC-3A,1,12/9/16 23:00,0.0874919
AGOC-3A,1,12/10/16 23:00,0.664282
AGOC-3A,1,12/11/16 23:00,0.103489
AGOC-3A,1,12/12/16 23:00,0.394149
AGOC-3A,1,12/13/16 23:00,0.213911
AGOC-3A,1,12/14/16 23:00,0.0839253
AGOC-3A,1,12/15/16 23:00,0.0204033
AGOC-3A,1,12/16/16 23:00,0.152693
AGOC-3A,1,12/17/16 23:00,0.403991
AGOC-3A,1,12/18/16 23:00,0.104982
AGOC-3A,1,12/19/16 23:00,0.0356405
AGOC-3A,1,12/20/16 23:00,0.387042
AGOC-3A,1,12/21/16 23:00,0.473121
AGOC-3A,1,12/22/16 23:00,0.348603
AGOC-3A,1,12/23/16 23:00,0.298526
AGOC-3A,1,12/24/16 23:00,0.420347
