Chemical,Monitor,Date Time ,Reading
Appluimonia,1,4/1/16 11:00,0.132435
Appluimonia,1,4/2/16 11:00,0.0530652
Appluimonia,1,4/3/16 11:00,0.0359026
Appluimonia,1,4/4/16 11:00,0.0569456
Appluimonia,1,4/5/16 11:00,0.0868284
Appluimonia,1,4/6/16 11:00,0.0889944
Appluimonia,1,4/7/16 11:00,0.170418
Appluimonia,1,4/8/16 11:00,0.0391375
Appluimonia,1,4/9/16 11:00,0.616507
Appluimonia,1,4/10/16 11:00,0.193198
Appluimonia,1,4/11/16 11:00,0.41734
Appluimonia,1,4/12/16 11:00,0.0372717
Appluimonia,1,4/13/16 11:00,0.132596
Appluimonia,1,4/14/16 11:00,0.0500225
Appluimonia,1,4/15/16 11:00,0.278009
Appluimonia,1,4/16/16 11:00,1.27005
Appluimonia,1,4/17/16 11:00,0.310114
Appluimonia,1,4/18/16 11:00,0.061629
Appluimonia,1,4/19/16 11:00,0.259359
Appluimonia,1,4/20/16 11:00,0.0718825
Appluimonia,1,4/21/16 11:00,0.303882
Appluimonia,1,4/22/16 11:00,0.0800467
Appluimonia,1,4/23/16 11:00,0.159884
Appluimonia,1,4/24/16 11:00,0.211673
Appluimonia,1,4/25/16 11:00,0.335085
Appluimonia,1,4/26/16 11:00,0.127931
Appluimonia,1,4/27/16 11:00,0.00363132
Appluimonia,1,4/28/16 11:00,0.236827
Appluimonia,1,4/29/16 11:00,0.250382
Appluimonia,1,4/30/16 11:00,0.0994126
Appluimonia,1,8/1/16 11:00,0.226384
Appluimonia,1,8/2/16 11:00,0.164775
Appluimonia,1,8/3/16 11:00,0.102974
Appluimonia,1,8/4/16 11:00,0.120202
Appluimonia,1,8/5/16 11:00,0.21664
Appluimonia,1,8/6/16 11:00,0.25765
Appluimonia,1,8/7/16 11:00,0.042873
Appluimonia,1,8/8/16 11:00,0.556074
Appluimonia,1,8/9/16 11:00,0.158807
Appluimonia,1,8/10/16 11:00,0.118293
Appluimonia,1,8/11/16 11:00,0.348019
Appluimonia,1,8/12/16 11:00,0.191075
Appluimonia,1,8/13/16 11:00,0.309225
Appluimonia,1,8/14/16 11:00,0.304636
Appluimonia,1,8/15/16 11:00,0.00540952
Appluimonia,1,8/16/16 11:00,0.225042
Appluimonia,1,8/17/16 11:00,0.240053
Appluimonia,1,8/18/16 11:00,0.0723001
Appluimonia,1,8/19/16 11:00,0.44033
Appluimonia,1,8/20/16 11:00,0.209167
Appluimonia,1,8/21/16 11:00,0.209237
Appluimonia,1,8/22/16 11:00,0.205929
Appluimonia,1,8/23/16 11:00,0.156804
Appluimonia,1,8/24/16 11:00,0.482972
Appluimonia,1,8/25/16 11:00,0.273097
Appluimonia,1,8/26/16 11:00,0.502429
Appluimonia,1,8/27/16 11:00,0.0571234
Appluimonia,1,8/28/16 11:00,0.327025
Appluimonia,1,8/29/16 11:00,0.217825
Appluimonia,1,8/30/16 11:00,0.235892
Appluimonia,1,8/31/16 11:00,0.397759
Appluimonia,1,12/1/16 11:00,0.533699
Appluimonia,1,12/2/16 11:00,0.188205
Appluimonia,1,12/3/16 11:00,0.186273
Appluimonia,1,12/4/16 11:00,0.300344
Appluimonia,1,12/5/16 11:00,0.157653
Appluimonia,1,12/6/16 11:00,0.024719
Appluimonia,1,12/7/16 11:00,0.548287
Appluimonia,1,12/8/16 11:00,0.105881
Appluimonia,1,12/9/16 11:00,0.237169
Appluimonia,1,12/10/16 11:00,0.0966981
Appluimonia,1,12/11/16 11:00,0.153431
Appluimonia,1,12/12/16 11:00,0.323211
Appluimonia,1,12/13/16 11:00,0.17987
Appluimonia,1,12/14/16 11:00,0.0936055
Appluimonia,1,12/15/16 11:00,0.0506501
Appluimonia,1,12/16/16 11:00,0.208027
Appluimonia,1,12/17/16 11:00,0.310186
Appluimonia,1,12/18/16 11:00,0.268992
Appluimonia,1,12/19/16 11:00,0.150644
Appluimonia,1,12/20/16 11:00,0.150502
Appluimonia,1,12/21/16 11:00,0.0984567
Appluimonia,1,12/22/16 11:00,0.101186
Appluimonia,1,12/23/16 11:00,0.47714
Appluimonia,1,12/24/16 11:00,0.135892
Appluimonia,1,12/25/16 11:00,0.055062
Appluimonia,1,12/26/16 11:00,0.237855
Appluimonia,1,12/27/16 11:00,0.338468
Appluimonia,1,12/28/16 11:00,0.157775
Appluimonia,1,12/29/16 11:00,0.189477
Appluimonia,1,12/30/16 11:00,0.0104289
Appluimonia,1,12/31/16 11:00,0.459284
Appluimonia,2,4/1/16 11:00,0.150965
Appluimonia,2,4/2/16 11:00,0.0983831
Appluimonia,2,4/3/16 11:00,0.312391
Appluimonia,2,4/4/16 11:00,0.880426
Appluimonia,2,4/5/16 11:00,0.212594
Appluimonia,2,4/6/16 11:00,0.171074
Appluimonia,2,4/7/16 11:00,0.855275
Appluimonia,2,4/8/16 11:00,0.295875
Appluimonia,2,4/9/16 11:00,0.517179
Appluimonia,2,4/10/16 11:00,0.390892
Appluimonia,2,4/11/16 11:00,0.0985789
Appluimonia,2,4/12/16 11:00,0.229416
Appluimonia,2,4/13/16 11:00,0.78578
Appluimonia,2,4/14/16 11:00,0.657063
Appluimonia,2,4/15/16 11:00,0.488764
Appluimonia,2,4/16/16 11:00,0.0291863
Appluimonia,2,4/17/16 11:00,0.103004
Appluimonia,2,4/18/16 11:00,0.0383699
Appluimonia,2,4/19/16 11:00,0.330829
Appluimonia,2,4/20/16 11:00,0.0641277
